total_cup_points,country_of_origin,altitude_mean_meters,latitude,longitude,country_cup_points_avg,avg_altitude_per_country,quality_category,country_entry_counts
84.67,Taiwan,1000.0,23.5,121.0,81.94771428571428,729.2714285714286,Medium Quality,70
84.67,Colombia,1550.0,4.0,-72.0,83.23040268456376,1570.4429530201342,Medium Quality,149
84.67,Kenya,2000.0,1.0,38.0,84.27130434782609,1502.3478260869565,Medium Quality,23
84.67,Guatemala,1310.64,15.5,-90.25,82.02422077922077,1440.7324207792208,Medium Quality,154
84.67,Guatemala,1524.0,15.5,-90.25,82.02422077922077,1440.7324207792208,Medium Quality,154
84.67,Mexico,1200.0,23.0,-102.0,80.86306034482759,1235.3620689655172,Medium Quality,232
84.67,Uganda,1775.0,1.0,32.0,83.38294117647058,1590.8235294117646,Medium Quality,34
84.67,Ethiopia,1750.0,8.0,38.0,85.91633333333333,1800.3006666666665,High Quality,30
84.58,Kenya,1754.0,1.0,38.0,84.27130434782609,1502.3478260869565,Medium Quality,23
84.58,Colombia,1500.0,4.0,-72.0,83.23040268456376,1570.4429530201342,Medium Quality,149
84.58,Kenya,1800.0,1.0,38.0,84.27130434782609,1502.3478260869565,Medium Quality,23
84.58,Guatemala,1524.0,15.5,-90.25,82.02422077922077,1440.7324207792208,Medium Quality,154
84.58,Guatemala,1219.2,15.5,-90.25,82.02422077922077,1440.7324207792208,Medium Quality,154
84.58,Colombia,1550.0,4.0,-72.0,83.23040268456376,1570.4429530201342,Medium Quality,149
84.58,Colombia,1750.0,4.0,-72.0,83.23040268456376,1570.4429530201342,Medium Quality,149
84.58,Colombia,1750.0,4.0,-72.0,83.23040268456376,1570.4429530201342,Medium Quality,149
84.58,Costa Rica,1575.0,10.0,-84.0,82.8004347826087,1380.1347826086956,Medium Quality,46
84.58,Colombia,1800.0,4.0,-72.0,83.23040268456376,1570.4429530201342,Medium Quality,149
84.58,Brazil,1300.0,-10.0,-55.0,82.71144230769231,920.7788461538462,Medium Quality,104
84.58,Brazil,1100.0,-10.0,-55.0,82.71144230769231,920.7788461538462,Medium Quality,104
84.5,Costa Rica,1200.0,10.0,-84.0,82.8004347826087,1380.1347826086956,Medium Quality,46
84.5,Uganda,1750.0,1.0,32.0,83.38294117647058,1590.8235294117646,Medium Quality,34
84.5,China,1680.0,35.0,105.0,82.9275,1463.125,Medium Quality,16
84.5,Costa Rica,1700.0,10.0,-84.0,82.8004347826087,1380.1347826086956,Medium Quality,46
84.5,Colombia,1800.0,4.0,-72.0,83.23040268456376,1570.4429530201342,Medium Quality,149
84.5,China,1100.0,35.0,105.0,82.9275,1463.125,Medium Quality,16
84.5,Guatemala,1310.64,15.5,-90.25,82.02422077922077,1440.7324207792208,Medium Quality,154
84.5,Kenya,2000.0,1.0,38.0,84.27130434782609,1502.3478260869565,Medium Quality,23
84.5,Mexico,1350.0,23.0,-102.0,80.86306034482759,1235.3620689655172,Medium Quality,232
84.5,Mexico,1500.0,23.0,-102.0,80.86306034482759,1235.3620689655172,Medium Quality,232
84.42,Costa Rica,1300.0,10.0,-84.0,82.8004347826087,1380.1347826086956,Medium Quality,46
84.42,Indonesia,1400.0,-5.0,120.0,82.90235294117646,1363.235294117647,Medium Quality,17
84.42,Colombia,1775.0,4.0,-72.0,83.23040268456376,1570.4429530201342,Medium Quality,149
84.42,Taiwan,1200.0,23.5,121.0,81.94771428571428,729.2714285714286,Medium Quality,70
84.42,Mexico,900.0,23.0,-102.0,80.86306034482759,1235.3620689655172,Medium Quality,232
84.33,Kenya,1800.0,1.0,38.0,84.27130434782609,1502.3478260869565,Medium Quality,23
84.33,Honduras,1500.0,15.0,-86.5,80.8322,1425.92,Medium Quality,50
84.33,Honduras,1500.0,15.0,-86.5,80.8322,1425.92,Medium Quality,50
84.33,Colombia,442.0,4.0,-72.0,83.23040268456376,1570.4429530201342,Medium Quality,149
84.33,Colombia,1800.0,4.0,-72.0,83.23040268456376,1570.4429530201342,Medium Quality,149
84.33,Mexico,1700.0,23.0,-102.0,80.86306034482759,1235.3620689655172,Medium Quality,232
84.33,Brazil,1275.0,-10.0,-55.0,82.71144230769231,920.7788461538462,Medium Quality,104
84.33,Brazil,1050.0,-10.0,-55.0,82.71144230769231,920.7788461538462,Medium Quality,104
84.33,Ethiopia,1493.52,8.0,38.0,85.91633333333333,1800.3006666666665,High Quality,30
84.33,Guatemala,1386.84,15.5,-90.25,82.02422077922077,1440.7324207792208,Medium Quality,154
